"Year","Month","Day","Hour","Temperature [C]","Precipitation [mm]","Wind Speed","Sunshine duration","Relative Humidity","Pressure [hPa]"
2023,6,13,"1",26,0,4.1,0,96,1004
2023,6,13,"2",26.2,0,4.5,0,96,1003.2
2023,6,13,"3",26.5,0,4.3,0,95,1002.8
2023,6,13,"4",26.8,0,5.6,0,94,1002.9
2023,6,13,"5",26.8,0.5,6.2,0,96,1002.8
2023,6,13,"6",26.4,2,6.7,0,97,1002.6
2023,6,13,"7",26.6,0,4,0,97,1003.4
2023,6,13,"8",27.3,0,3.7,0,95,1003.4
2023,6,13,"9",27.7,0,6.3,0,91,1003.6
2023,6,13,"10",27.6,0,4.1,0,94,1003.5
2023,6,13,"11",27.2,1.5,5.1,0,96,1002.8
2023,6,13,"12",26.1,4.5,6.3,0,95,1002.9
2023,6,13,"13",27.7,0,6.2,0,91,1002.4
2023,6,13,"14",27.4,0,9.1,0,93,1002
2023,6,13,"15",27.1,0,7.9,0,92,1001.8
2023,6,13,"16",26.8,2,5.8,0,95,1001.4
2023,6,13,"17",26.7,0.5,5.9,0,94,1001.2
2023,6,13,"18",26.5,0,5.9,0,94,1001.3
2023,6,13,"19",25.6,16.5,5.3,0,98,1001.6
2023,6,13,"20",25.8,1.5,8.9,0,97,1001.2
2023,6,13,"21",26.2,1,8.6,0,96,1001.5
2023,6,13,"22",26.3,0,10.2,0,96,1002.4
2023,6,13,"23",25.4,0,5.4,0,98,1003.5
2023,6,13,"24",25.5,0,5.2,0,98,1003.2
2023,6,14,"1",25.7,0,5,0,95,1003.5
2023,6,14,"2",25.7,0,4.6,0,95,1003.8
2023,6,14,"3",25.6,0,3.9,0,94,1003.8
2023,6,14,"4",25.4,0,3.5,0,96,1004
2023,6,14,"5",25.6,0,3,0,97,1004.3
2023,6,14,"6",25.7,0.5,3.6,0,95,1005.1
2023,6,14,"7",24.9,0,4.7,0,97,1005.8
2023,6,14,"8",24.5,2.5,4.3,0,98,1006.3
2023,6,14,"9",25.3,1.5,3.3,0,97,1006.5
2023,6,14,"10",24.7,3.5,4.6,0,97,1007.2
2023,6,14,"11",24.6,20,4,0,99,1007.4
2023,6,14,"12",24.3,4.5,1.1,0,98,1006.8
2023,6,14,"13",25.1,2,2.4,0,98,1006.1
2023,6,14,"14",25.6,13,4.6,0,99,1005.1
2023,6,14,"15",24.1,50.5,4.7,0,99,1005.2
2023,6,14,"16",24,13.5,2.6,0,99,1005.2
2023,6,14,"17",24,22.5,0.3,0,100,1005.2
2023,6,14,"18",24.1,6,0.6,0,100,1004.8
2023,6,14,"19",24,0.5,0.1,0,99,1005.1
2023,6,14,"20",24.3,0,2,0,98,1006
2023,6,14,"21",24.3,0.5,2.7,0,98,1006.2
2023,6,14,"22",24.4,0.5,2.3,0,99,1006.3
2023,6,14,"23",24.6,0,2.6,0,99,1006.5
2023,6,14,"24",24.6,3,2.3,0,99,1005.7
2023,6,15,"1",25,30.5,1.7,0,100,1005.1
2023,6,15,"2",25.1,37,7.2,0,99,1003.9
2023,6,15,"3",24.5,5.5,4.1,0,99,1004
2023,6,15,"4",24.6,0.5,2.5,0,100,1004.2
2023,6,15,"5",24.7,0,5,0,99,1004.9
2023,6,15,"6",24.7,0,4.5,0,96,1006.2
2023,6,15,"7",25.3,0,3.8,0,93,1006.7
2023,6,15,"8",26,0,2.9,0,92,1007.7
2023,6,15,"9",26.4,0,3,0.2,90,1008.4
2023,6,15,"10",26.9,0,3,0,89,1009.1
2023,6,15,"11",27,0,3.9,0,89,1009.5
2023,6,15,"12",26.4,0,2.2,0,94,1009.4
2023,6,15,"13",27.5,0,3.2,0,84,1009.4
2023,6,15,"14",27.2,0,3,0,86,1009.4
2023,6,15,"15",25.9,1,2.6,0,90,1009.7
2023,6,15,"16",25.4,1,1.9,0,89,1009.7
2023,6,15,"17",24.8,0.5,2.5,0,86,1009.7
2023,6,15,"18",24.6,0.5,3.8,0,87,1010.1
2023,6,15,"19",24.1,0,2.8,0,88,1010.8
2023,6,15,"20",23.9,0,2.7,0,92,1011.4
2023,6,15,"21",23.8,0.5,2.7,0,94,1012.2
2023,6,15,"22",23.9,0,3,0,91,1012.6
2023,6,15,"23",23.9,0,2.7,0,92,1012.6
2023,6,15,"24",24.1,0,2.6,0,91,1012.2
2023,6,16,"1",24.1,0,1.7,0,95,1011.8
2023,6,16,"2",24.2,0.5,1.8,0,93,1011.8
2023,6,16,"3",23.8,0,1.4,0,95,1011.9
2023,6,16,"4",23.9,0,2.4,0,95,1012.5
2023,6,16,"5",23.6,0,0.8,0,98,1012.5
2023,6,16,"6",23.7,1.5,0.8,0,99,1013
2023,6,16,"7",23.9,1,0.8,0,99,1013.3
2023,6,16,"8",24.4,0.5,0.8,0,95,1013.6
2023,6,16,"9",25.3,0,1.6,0,90,1013.9
2023,6,16,"10",25.8,0,2,0,89,1014.1
2023,6,16,"11",27,0,3.3,0.1,83,1014
2023,6,16,"12",27.7,0,2.6,0,82,1013.6
2023,6,16,"13",28.2,0,3.9,0.1,81,1013.3
2023,6,16,"14",27.3,0,4.2,0,84,1012.6
2023,6,16,"15",27.6,0,4.9,0.3,82,1012.6
2023,6,16,"16",26.8,0,6.2,0,85,1012.5
2023,6,16,"17",26.6,0,5.6,0,85,1012.5
2023,6,16,"18",26.5,0,5,0,89,1012.7
2023,6,16,"19",26.4,0,5.2,0,92,1012.9
2023,6,16,"20",26.5,0,4.2,0,92,1013.1
2023,6,16,"21",26.6,0,3.3,0,94,1013.5
2023,6,16,"22",26.6,0,3.6,0,95,1014.2
2023,6,16,"23",26.8,0,3.4,0,95,1014.3
2023,6,16,"24",26.7,0,4.6,0,95,1013.9
2023,6,17,1,26.6,0,4.3,0,96,1013.4
2023,6,17,2,26.4,0,5.1,0,97,1012.9
2023,6,17,3,26.5,0,4,0,96,1012.9
2023,6,17,4,26.4,0.5,4.3,0,97,1012.6
2023,6,17,5,26.5,0,4.5,0,97,1012.7
2023,6,17,6,26.5,0,5.6,0,97,1012.7
2023,6,17,7,26.7,0,5.4,0,96,1013
2023,6,17,8,26.8,0,4.9,0,96,1013.4
2023,6,17,9,26.7,1,5.8,0,96,1013.6
2023,6,17,10,26,3,5.9,0,96,1014.4
2023,6,17,11,26.5,1.5,4.3,0,97,1014.5
2023,6,17,12,27,0,6.2,0,96,1014.1
2023,6,17,13,27.3,0,5.7,0,95,1013.7
2023,6,17,14,27.4,0,5.5,0,95,1013.4
2023,6,17,15,27.4,0,6.8,0,93,1013
2023,6,17,16,27.4,0,5.3,0,94,1012.7
2023,6,17,17,27.5,0,4.5,0,94,1012.5
2023,6,17,18,27.2,0,6.7,0,95,1012.4
2023,6,17,19,27,0,5.3,0,95,1012.1
2023,6,17,20,26.9,0,5,0,96,1012.4
2023,6,17,21,26.9,0,5,0,96,1013.1
2023,6,17,22,26.9,0,5,0,97,1013.6
2023,6,17,23,26.8,0,5.1,0,97,1014
2023,6,17,24,26.8,0,5.6,0,97,1013.4
2023,6,18,"1",26.8,0,5.2,0,98,1012.7
2023,6,18,"2",26.7,0,5.3,0,98,1012
2023,6,18,"3",26.7,0,6.1,0,98,1011.4
2023,6,18,"4",26.7,0,6.1,0,97,1011.1
2023,6,18,"5",26.7,0,6.1,0,97,1011.1
2023,6,18,"6",26.7,0,6,0,97,1011.4
2023,6,18,"7",26.9,0,5.1,0,96,1011.4
2023,6,18,"8",27.3,0,6.9,0,94,1011.2
2023,6,18,"9",27.9,0,6,0,92,1011.1
2023,6,18,"10",27.9,0,5.9,0,90,1011.1
2023,6,18,"11",28.5,0,8.7,0,86,1010.8
2023,6,18,"12",29.1,0,9.4,0.5,83,1010.6
2023,6,18,"13",29.6,0,11.2,0.8,84,1010.5
2023,6,18,"14",29.1,0,9.6,0.9,83,1010.1
2023,6,18,"15",29.2,0,7.9,0.8,82,1009.5
2023,6,18,"16",28.4,0,8.5,0.2,85,1009
2023,6,18,"17",28.4,0,8.6,0,85,1008.4
2023,6,18,"18",27.8,0,6.7,0,88,1008.4
2023,6,18,"19",27.6,0,6.2,0,91,1008.8
2023,6,18,"20",27.3,0,7.2,0,93,1009
2023,6,18,"21",27.2,0,6.5,0,93,1009.1
2023,6,18,"22",27.1,0,5.8,0,94,1009
2023,6,18,"23",27,0,7.3,0,94,1009.1
2023,6,18,"24",26.9,0,8,0,94,1008.9
2023,6,19,"1",26.8,0,6.4,0,95,1008.3
2023,6,19,"2",26.7,0,7.5,0,95,1007.6
2023,6,19,"3",26.7,0,8,0,95,1007.2
2023,6,19,"4",26.6,0,7.9,0,94,1006.9
2023,6,19,"5",26.5,0,7.9,0,94,1006.7
2023,6,19,"6",26.5,0,8.1,0,93,1006.7
2023,6,19,"7",26.9,0,7.3,0,92,1006.9
2023,6,19,"8",27.2,0,7.8,0,90,1007
2023,6,19,"9",27.6,0,7.9,0,88,1007.1
2023,6,19,"10",27.6,0,9.3,0,88,1007.4
2023,6,19,"11",27.1,0,7.6,0,90,1007.7
2023,6,19,"12",27.4,0,7.4,0,89,1007.7
2023,6,19,"13",27.6,0,8.1,0,88,1007.1
2023,6,19,"14",27.4,0,8.7,0,89,1007.2
2023,6,19,"15",27.3,0,6.9,0,91,1006.3
2023,6,19,"16",27.5,0,5.1,0,90,1006.1
2023,6,19,"17",27.6,0,5.4,0,90,1005.7
2023,6,19,"18",27.6,0,5.3,0,90,1005.8
2023,6,19,"19",27.3,0,5.4,0.1,91,1005.9
2023,6,19,"20",26.9,0,5.9,0,93,1006.1
2023,6,19,"21",26.8,0,4.8,0,96,1006.5
2023,6,19,"22",26.8,0,5.4,0,96,1006.8
2023,6,19,"23",26.8,0,5.8,0,96,1007.2
2023,6,19,"24",26.8,0,5.1,0,96,1007.1
